User_ID,Date,Tasks_Completed,Mood,Energy_Level,Breaks_Taken,Coffee_Intake,Hours_Worked,Focus_Score,Distractions
1,2026-04-01,6,Stressed,84,5,4,2,35,10
2,2026-04-02,3,Neutral,31,1,5,2,28,7
3,2026-04-03,10,Neutral,86,2,2,8,37,5
4,2026-04-04,7,Happy,32,0,4,6,56,8
5,2026-04-05,4,Sad,66,3,5,4,96,4
6,2026-04-06,6,Neutral,17,1,1,11,100,2
7,2026-04-07,9,Sad,24,4,2,9,26,2
8,2026-04-08,2,Neutral,94,1,4,6,54,0
9,2026-04-09,6,Sad,53,4,0,8,32,7
10,2026-04-10,10,Stressed,57,2,1,0,67,1
11,2026-04-11,10,Sad,66,4,1,6,85,2
12,2026-04-12,7,Stressed,45,3,5,5,65,7
13,2026-04-13,4,Stressed,23,0,1,9,9,7
14,2026-04-14,3,Sad,31,4,2,11,4,10
15,2026-04-15,7,Stressed,46,4,4,8,73,3
16,2026-04-16,7,Happy,85,0,4,0,96,3
17,2026-04-17,2,Stressed,22,3,0,12,37,4
18,2026-04-18,5,Neutral,65,1,5,3,12,5
19,2026-04-19,4,Sad,26,4,0,8,30,4
20,2026-04-20,1,Happy,1,0,1,3,46,6
21,2026-04-21,7,Sad,89,2,0,9,99,1
22,2026-04-22,5,Neutral,16,0,2,2,87,6
23,2026-04-23,1,Neutral,32,2,4,8,51,9
24,2026-04-24,4,Neutral,8,3,1,12,55,6
25,2026-04-25,0,Stressed,42,1,0,1,14,0
26,2026-04-26,9,Stressed,47,0,5,3,28,6
27,2026-04-27,5,Sad,38,5,2,5,7,4
28,2026-04-28,8,Sad,92,4,2,1,4,2
29,2026-04-29,0,Happy,41,3,0,7,28,2
30,2026-04-30,10,Happy,25,0,4,7,46,3
31,2026-05-01,10,Sad,98,4,0,0,67,1
32,2026-05-02,9,Stressed,49,0,1,11,75,1
33,2026-05-03,2,Neutral,24,2,0,2,44,0
34,2026-05-04,6,Sad,23,0,2,9,1,4
35,2026-05-05,3,Happy,12,5,0,8,26,3
36,2026-05-06,8,Stressed,59,0,4,4,94,10
37,2026-05-07,2,Sad,6,0,5,5,35,9
38,2026-05-08,4,Sad,56,5,3,3,35,1
39,2026-05-09,2,Stressed,35,3,0,9,25,2
40,2026-05-10,6,Sad,44,0,4,1,42,6
41,2026-05-11,4,Stressed,19,5,4,10,26,6
42,2026-05-12,8,Neutral,64,4,5,7,68,3
43,2026-05-13,6,Stressed,7,2,2,10,19,4
44,2026-05-14,1,Stressed,15,2,4,12,10,4
45,2026-05-15,3,Stressed,13,0,4,5,73,5
46,2026-05-16,8,Sad,75,3,4,4,37,8
47,2026-05-17,1,Sad,86,3,4,8,5,1
48,2026-05-18,9,Stressed,14,4,1,0,71,4
49,2026-05-19,8,Sad,91,0,1,4,22,2
50,2026-05-20,9,Happy,97,2,2,5,46,3
51,2026-05-21,4,Happy,65,3,0,4,89,9
52,2026-05-22,1,Sad,31,0,4,5,45,5
53,2026-05-23,3,Sad,86,3,5,5,11,7
54,2026-05-24,6,Stressed,62,5,0,6,89,0
55,2026-05-25,7,Neutral,85,3,5,3,12,9
56,2026-05-26,2,Sad,50,2,0,10,61,7
57,2026-05-27,0,Happy,24,1,2,7,81,10
58,2026-05-28,3,Stressed,57,4,4,6,88,6
59,2026-05-29,1,Sad,62,4,4,8,96,0
60,2026-05-30,7,Happy,61,2,3,6,59,1
61,2026-05-31,3,Happy,21,3,5,2,42,2
62,2026-06-01,1,Neutral,57,0,0,2,75,0
63,2026-06-02,5,Stressed,57,3,0,7,99,8
64,2026-06-03,5,Stressed,85,2,1,4,67,7
65,2026-06-04,9,Neutral,48,4,3,3,4,1
66,2026-06-05,3,Neutral,51,3,1,7,36,8
67,2026-06-06,5,Stressed,41,4,1,5,71,6
68,2026-06-07,1,Stressed,69,0,1,1,91,8
69,2026-06-08,9,Sad,14,4,5,3,30,5
70,2026-06-09,1,Sad,53,4,5,11,8,5
71,2026-06-10,9,Neutral,59,1,2,10,50,10
72,2026-06-11,3,Sad,100,1,2,3,28,3
73,2026-06-12,7,Happy,96,5,1,5,77,9
74,2026-06-13,6,Sad,7,1,3,5,39,9
75,2026-06-14,8,Sad,52,4,0,0,40,1
76,2026-06-15,7,Happy,59,2,5,7,85,6
77,2026-06-16,4,Neutral,4,4,3,5,10,4
78,2026-06-17,1,Happy,67,2,4,2,22,10
79,2026-06-18,4,Sad,5,2,5,8,0,5
80,2026-06-19,7,Neutral,95,1,5,1,45,1
81,2026-06-20,9,Sad,93,3,2,10,100,4
82,2026-06-21,8,Happy,46,0,0,7,20,9
83,2026-06-22,8,Happy,98,1,0,9,89,3
84,2026-06-23,0,Sad,54,1,4,2,35,8
85,2026-06-24,8,Stressed,39,3,4,12,53,5
86,2026-06-25,6,Stressed,51,0,5,11,86,1
87,2026-06-26,8,Happy,15,4,1,4,56,0
88,2026-06-27,7,Happy,12,5,2,5,0,4
89,2026-06-28,0,Stressed,29,5,2,9,62,8
90,2026-06-29,7,Stressed,18,4,5,5,53,5
91,2026-06-30,7,Sad,16,1,3,3,54,9
92,2026-07-01,10,Sad,62,0,1,2,39,6
93,2026-07-02,2,Stressed,18,1,5,3,14,4
94,2026-07-03,0,Sad,91,2,1,0,20,9
95,2026-07-04,7,Sad,57,1,1,3,46,5
96,2026-07-05,2,Neutral,54,1,1,0,72,4
97,2026-07-06,2,Sad,89,4,5,11,52,10
98,2026-07-07,0,Happy,100,4,2,0,8,8
99,2026-07-08,10,Sad,89,4,2,9,73,5
100,2026-07-09,4,Sad,61,5,1,5,51,10
101,2026-07-10,9,Stressed,22,2,3,4,56,7
102,2026-07-11,6,Happy,8,4,0,10,25,1
103,2026-07-12,9,Sad,11,0,5,3,40,8
104,2026-07-13,8,Sad,0,5,0,12,34,4
105,2026-07-14,6,Neutral,57,3,3,10,62,6
106,2026-07-15,8,Sad,0,0,5,2,24,9
107,2026-07-16,7,Sad,33,0,1,0,89,0
108,2026-07-17,1,Neutral,95,4,2,5,74,9
109,2026-07-18,0,Stressed,47,3,0,1,37,4
110,2026-07-19,6,Sad,88,3,4,7,1,9
111,2026-07-20,6,Neutral,0,5,4,9,6,1
112,2026-07-21,7,Happy,15,3,3,4,81,5
113,2026-07-22,4,Stressed,60,2,1,6,90,10
114,2026-07-23,2,Happy,63,4,0,9,33,0
115,2026-07-24,7,Happy,62,3,1,11,90,2
116,2026-07-25,5,Neutral,68,5,0,1,16,4
117,2026-07-26,10,Sad,21,2,3,12,42,3
118,2026-07-27,2,Neutral,92,1,3,7,58,2
119,2026-07-28,0,Neutral,66,1,4,1,50,9
120,2026-07-29,2,Neutral,75,2,1,3,53,4
121,2026-07-30,4,Neutral,25,5,5,0,23,10
122,2026-07-31,2,Stressed,15,2,4,4,24,7
123,2026-08-01,0,Sad,50,4,1,8,70,10
124,2026-08-02,4,Happy,100,4,4,0,51,3
125,2026-08-03,9,Happy,85,1,5,8,69,0
126,2026-08-04,6,Sad,56,3,2,10,87,10
127,2026-08-05,6,Happy,28,5,2,7,32,6
128,2026-08-06,10,Sad,77,1,2,5,48,7
129,2026-08-07,8,Happy,91,3,2,6,28,2
130,2026-08-08,9,Neutral,68,3,0,2,62,5
131,2026-08-09,9,Happy,46,4,2,0,21,1
132,2026-08-10,2,Sad,93,0,5,4,25,6
133,2026-08-11,6,Sad,61,0,3,11,27,7
134,2026-08-12,0,Sad,68,2,3,11,84,5
135,2026-08-13,3,Sad,75,4,0,1,48,5
136,2026-08-14,3,Sad,15,3,2,4,70,4
137,2026-08-15,4,Stressed,89,5,2,7,80,7
138,2026-08-16,6,Stressed,89,0,2,10,83,0
139,2026-08-17,6,Happy,47,3,4,8,48,9
140,2026-08-18,10,Sad,84,0,1,1,19,3
141,2026-08-19,3,Happy,38,0,4,11,85,3
142,2026-08-20,6,Sad,99,0,1,2,91,2
143,2026-08-21,10,Sad,32,5,2,2,62,2
144,2026-08-22,2,Stressed,93,4,2,0,60,3
145,2026-08-23,5,Stressed,100,5,4,7,48,10
146,2026-08-24,1,Neutral,22,1,4,5,70,0
147,2026-08-25,9,Stressed,9,3,1,11,0,10
148,2026-08-26,8,Neutral,68,4,3,12,95,10
