city,date,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,wind_max_kmh,humidity_pct,weather_code
Faisalabad,2024-04-22,34.0,19.8,26.0,0.9,21.1,43,53
Faisalabad,2024-04-23,32.3,19.5,25.5,0.5,14.0,46,53
Faisalabad,2024-04-24,35.2,18.4,27.0,0.0,17.6,38,1
Faisalabad,2024-04-25,39.0,19.5,29.4,0.0,16.6,29,3
Faisalabad,2024-04-26,35.5,22.1,27.9,1.2,19.9,39,51
Faisalabad,2024-04-27,32.7,21.0,25.6,5.4,19.1,47,63
Faisalabad,2024-04-28,33.8,19.5,26.1,2.5,25.8,50,61
Faisalabad,2024-04-29,29.9,19.4,23.7,1.4,21.6,51,55
Faisalabad,2024-04-30,30.6,16.2,22.0,0.5,24.0,55,51
Faisalabad,2024-05-01,30.6,14.6,23.0,0.0,15.9,37,0
Faisalabad,2024-05-02,34.7,16.4,27.2,0.0,10.4,26,3
Faisalabad,2024-05-03,36.2,19.2,28.6,0.0,14.5,26,3
Faisalabad,2024-05-04,36.2,23.0,29.3,0.2,16.6,34,51
Faisalabad,2024-05-05,38.2,22.4,30.5,0.0,16.5,34,2
Faisalabad,2024-05-06,40.3,23.2,32.4,0.0,16.5,27,1
Faisalabad,2024-05-07,41.8,25.2,33.9,0.0,21.7,21,0
Faisalabad,2024-05-08,42.8,24.0,33.9,0.0,23.3,21,2
Faisalabad,2024-05-09,43.5,27.9,34.9,0.0,27.8,19,3
Faisalabad,2024-05-10,42.0,27.9,33.2,0.0,32.2,31,3
Faisalabad,2024-05-11,39.8,26.0,31.7,7.2,31.2,39,63
Faisalabad,2024-05-12,37.7,25.1,30.5,0.6,27.0,42,51
Faisalabad,2024-05-13,38.0,22.9,30.3,0.0,13.7,35,1
Faisalabad,2024-05-14,39.9,23.1,32.3,0.0,15.1,27,2
Faisalabad,2024-05-15,43.2,24.7,33.8,0.0,20.9,25,3
Faisalabad,2024-05-16,43.7,25.6,34.6,0.0,22.4,24,3
Faisalabad,2024-05-17,42.7,26.6,34.7,0.0,21.1,24,3
Faisalabad,2024-05-18,42.7,27.8,35.5,0.0,23.1,23,3
Faisalabad,2024-05-19,42.2,28.2,35.5,0.0,20.4,22,3
Faisalabad,2024-05-20,44.3,27.1,36.0,0.0,18.7,20,2
Faisalabad,2024-05-21,43.8,26.6,35.9,0.0,18.6,20,0
Faisalabad,2024-05-22,44.8,28.6,36.7,0.0,16.6,18,0
Faisalabad,2024-05-23,44.2,26.8,36.9,0.0,14.4,17,1
Faisalabad,2024-05-24,44.8,29.1,36.5,0.4,21.1,23,51
Faisalabad,2024-05-25,44.0,29.5,36.8,0.0,19.1,21,0
Faisalabad,2024-05-26,46.4,30.0,38.4,0.0,20.8,20,1
Faisalabad,2024-05-27,46.6,29.1,38.0,0.0,14.5,14,0
Faisalabad,2024-05-28,46.1,28.0,37.7,0.0,16.0,14,0
Faisalabad,2024-05-29,45.0,29.2,37.1,0.0,18.9,12,1
Faisalabad,2024-05-30,45.2,28.1,37.0,0.0,20.1,12,0
Faisalabad,2024-05-31,46.1,28.0,37.0,0.0,23.7,13,3
Faisalabad,2024-06-01,44.7,29.0,36.7,0.0,19.2,15,3
Faisalabad,2024-06-02,46.0,31.0,38.1,0.0,16.1,18,3
Faisalabad,2024-06-03,46.0,30.0,38.5,0.0,16.5,15,3
Faisalabad,2024-06-04,45.4,30.2,36.7,0.0,21.1,20,3
Faisalabad,2024-06-05,41.5,25.2,32.9,12.4,27.1,34,65
Faisalabad,2024-06-06,39.7,25.8,32.1,2.8,25.0,41,63
Faisalabad,2024-06-07,39.2,26.8,32.5,0.0,15.0,36,3
Faisalabad,2024-06-08,39.8,26.0,32.5,0.0,10.0,34,3
Faisalabad,2024-06-09,40.3,27.1,33.8,0.0,17.7,29,3
Faisalabad,2024-06-10,41.8,26.9,34.0,0.0,14.5,26,1
Faisalabad,2024-06-11,43.5,26.2,35.1,0.0,13.4,23,1
Faisalabad,2024-06-12,44.9,29.1,36.5,0.0,11.2,19,1
Faisalabad,2024-06-13,44.2,30.0,35.6,0.1,16.1,28,51
Faisalabad,2024-06-14,43.4,27.1,35.8,4.8,35.6,31,63
Faisalabad,2024-06-15,43.8,29.2,36.5,0.0,17.7,30,3
Faisalabad,2024-06-16,45.3,32.2,38.0,0.0,14.1,30,1
Faisalabad,2024-06-17,45.8,32.7,38.8,0.0,16.1,27,1
Faisalabad,2024-06-18,43.3,32.5,37.8,0.0,18.8,33,3
Faisalabad,2024-06-19,42.2,32.4,36.8,0.1,19.6,35,51
Faisalabad,2024-06-20,40.0,26.1,33.2,19.1,19.1,52,65
Faisalabad,2024-06-21,35.4,26.6,30.7,0.0,10.9,63,3
Faisalabad,2024-06-22,39.2,27.5,33.3,0.0,12.0,43,2
Faisalabad,2024-06-23,41.2,27.5,34.7,0.0,15.9,38,1
Faisalabad,2024-06-24,42.2,28.6,35.7,0.0,11.5,33,0
Faisalabad,2024-06-25,43.1,28.7,35.9,0.0,10.8,34,0
Faisalabad,2024-06-26,43.5,29.9,37.2,0.0,16.8,35,2
Faisalabad,2024-06-27,40.0,31.5,35.1,0.3,14.8,53,51
Faisalabad,2024-06-28,39.7,30.0,34.6,0.0,11.9,52,1
Faisalabad,2024-06-29,40.5,30.5,35.3,0.0,13.0,50,1
Faisalabad,2024-06-30,41.0,30.9,35.7,0.0,12.1,51,1
Faisalabad,2024-07-01,41.8,31.6,35.7,0.0,19.8,55,2
Faisalabad,2024-07-02,42.5,29.3,36.2,0.2,16.8,54,51
Faisalabad,2024-07-03,44.2,32.0,37.5,0.0,27.4,50,1
Faisalabad,2024-07-04,38.9,29.5,33.8,0.0,27.9,62,3
Faisalabad,2024-07-05,38.3,27.8,33.0,6.5,19.3,65,63
Faisalabad,2024-07-06,33.8,25.4,29.9,25.4,21.5,77,65
Faisalabad,2024-07-07,34.0,24.9,29.6,8.8,12.4,76,63
Faisalabad,2024-07-08,36.6,27.2,31.5,0.2,12.7,69,51
Faisalabad,2024-07-09,36.8,28.5,32.4,0.1,14.4,66,51
Faisalabad,2024-07-10,37.7,29.1,32.9,0.0,15.7,66,2
Faisalabad,2024-07-11,37.2,26.5,32.6,10.0,10.9,67,65
Faisalabad,2024-07-12,34.5,28.0,30.0,31.5,24.0,73,65
Faisalabad,2024-07-13,33.8,25.7,30.0,0.2,14.2,73,51
Faisalabad,2024-07-14,34.8,25.2,30.5,5.0,21.8,72,63
Faisalabad,2024-07-15,37.2,27.6,32.2,0.0,9.8,67,0
Faisalabad,2024-07-16,38.0,28.0,33.0,0.0,11.4,63,0
Faisalabad,2024-07-17,38.7,29.5,34.0,0.0,10.5,62,0
Faisalabad,2024-07-18,37.4,28.8,33.0,0.6,19.9,66,53
Faisalabad,2024-07-19,38.7,28.6,33.4,0.7,8.3,64,53
Faisalabad,2024-07-20,38.8,30.6,33.5,5.9,18.6,66,63
Faisalabad,2024-07-21,39.4,29.6,34.6,0.5,14.3,60,51
Faisalabad,2024-07-22,39.9,31.1,35.2,0.0,12.3,58,3
Faisalabad,2024-07-23,39.3,30.6,34.4,0.0,21.0,57,3
Faisalabad,2024-07-24,38.7,27.4,33.9,8.2,15.1,61,63
Faisalabad,2024-07-25,38.7,27.3,33.5,0.9,17.3,63,53
Faisalabad,2024-07-26,39.5,27.0,34.1,0.5,10.4,63,53
Faisalabad,2024-07-27,40.3,29.1,35.3,0.1,24.7,59,51
Faisalabad,2024-07-28,37.8,28.9,33.4,6.8,16.3,70,63
Faisalabad,2024-07-29,35.0,28.6,31.8,1.0,22.4,75,53
Faisalabad,2024-07-30,37.3,28.5,32.5,14.8,16.3,73,65
Faisalabad,2024-07-31,39.3,29.1,34.1,1.7,10.9,67,61
Faisalabad,2024-08-01,32.0,26.5,28.6,34.8,22.7,87,65
Faisalabad,2024-08-02,35.0,25.9,30.1,12.1,12.0,77,63
Faisalabad,2024-08-03,34.8,27.6,30.8,2.0,18.9,76,53
Faisalabad,2024-08-04,33.0,26.6,29.4,14.3,16.1,82,63
Faisalabad,2024-08-05,34.0,26.6,30.6,8.9,9.4,79,63
Faisalabad,2024-08-06,36.0,28.5,32.0,0.6,10.0,67,51
Faisalabad,2024-08-07,35.3,28.2,31.7,0.2,15.5,69,51
Faisalabad,2024-08-08,35.4,27.1,30.7,0.4,15.3,74,51
Faisalabad,2024-08-09,34.5,26.0,30.5,3.1,14.0,75,55
Faisalabad,2024-08-10,36.1,27.5,31.9,0.1,16.1,71,51
Faisalabad,2024-08-11,33.3,25.5,29.7,8.2,16.9,78,63
Faisalabad,2024-08-12,34.2,26.4,30.1,0.3,11.9,75,51
Faisalabad,2024-08-13,36.2,27.2,31.6,0.1,10.1,68,51
Faisalabad,2024-08-14,37.0,27.9,32.7,0.6,13.5,64,51
Faisalabad,2024-08-15,35.2,29.2,31.4,2.1,15.6,72,61
Faisalabad,2024-08-16,34.5,27.0,30.2,3.5,9.8,79,55
Faisalabad,2024-08-17,30.8,25.2,27.5,29.9,17.7,89,65
Faisalabad,2024-08-18,33.7,25.6,29.2,0.0,13.7,82,3
Faisalabad,2024-08-19,33.5,27.1,30.2,0.9,9.7,76,53
Faisalabad,2024-08-20,33.0,25.5,29.5,3.6,15.7,79,61
Faisalabad,2024-08-21,33.7,25.5,29.6,6.9,14.3,78,63
Faisalabad,2024-08-22,33.7,26.8,30.5,0.3,5.8,76,51
Faisalabad,2024-08-23,34.8,26.0,30.8,2.3,15.8,73,61
Faisalabad,2024-08-24,35.6,26.5,31.2,0.5,21.9,70,53
